year,title,theatre,capacity,gross, avg_cost ,seats_sold,performances,time,description
3/3/2019,Disney's Aladdin,New Amsterdam Theatre,98%," $ 1,157,167.20 ", $ 85.63 ,13514/1727,8,2hr 30mins (1 intermission),"The musical comedy tells the story of Aladdin, a street urchin who meets and falls in love with Princess Jasmine. However, Jasmine can only marry a prince, but all is not lost as Aladdin owns a magic lamp, and with the help of its Genie sets out to win the hand of his princess in marriage."
"3/10,2019",Disney's Aladdin,New Amsterdam Theatre,97%,"$1,238,638.30 ", $ 91.96 ,13469/1727,8,2hr 30mins (1 intermission),"The musical comedy tells the story of Aladdin, a street urchin who meets and falls in love with Princess Jasmine. However, Jasmine can only marry a prince, but all is not lost as Aladdin owns a magic lamp, and with the help of its Genie sets out to win the hand of his princess in marriage."
3/1/2020,Disney's Aladdin,New Amsterdam Theatre,96%," $ 1,092,062.60 ", $ 82.17 ,13290/1727,8,2hr 30mins (1 intermission),"The musical comedy tells the story of Aladdin, a street urchin who meets and falls in love with Princess Jasmine. However, Jasmine can only marry a prince, but all is not lost as Aladdin owns a magic lamp, and with the help of its Genie sets out to win the hand of his princess in marriage."
3/8/2020,Disney's Aladdin,New Amsterdam Theatre,90%," $ 1,002,597.40 ", $ 80.39 ,12471/1727,8,2hr 30mins (1 intermission),"The musical comedy tells the story of Aladdin, a street urchin who meets and falls in love with Princess Jasmine. However, Jasmine can only marry a prince, but all is not lost as Aladdin owns a magic lamp, and with the help of its Genie sets out to win the hand of his princess in marriage."
3/3/2019,Chicago,Ambassador Theatre,69%," $ 461,881.25 ", $ 77.74 ,5941/1080,8,2hr 30mins (1 intermission),"Chicago follows not your usual housewife, Roxie Hart, who gains dubious notoriety when she kills her boyfriend, invents her defense and manipulates everyone from her trustworthy husband to the fickle media and the unsuspecting public."
"3/10,2019",Chicago,Ambassador Theatre,81%," $ 558,974.25 ", $ 80.00 ,6987/1080,8,2hr 30mins (1 intermission),"Chicago follows not your usual housewife, Roxie Hart, who gains dubious notoriety when she kills her boyfriend, invents her defense and manipulates everyone from her trustworthy husband to the fickle media and the unsuspecting public."
3/1/2020,Chicago,Ambassador Theatre,76%," $ 546,842.00 ", $ 83.65 ,6537/1080,8,2hr 30mins (1 intermission),"Chicago follows not your usual housewife, Roxie Hart, who gains dubious notoriety when she kills her boyfriend, invents her defense and manipulates everyone from her trustworthy husband to the fickle media and the unsuspecting public."
3/8/2020,Chicago,Ambassador Theatre,75%," $ 536,990.80 ", $ 83.07 ,6464/1080,8,2hr 30mins (1 intermission),"Chicago follows not your usual housewife, Roxie Hart, who gains dubious notoriety when she kills her boyfriend, invents her defense and manipulates everyone from her trustworthy husband to the fickle media and the unsuspecting public."
3/3/2019,Dear Evan Hansen,Music Box Theatre,98%," $ 1,195,638.27 ", $ 154.44 ,7742/984,8,2hr 30mins (1 intermission),"All his life Evan Hansen has felt invisible. To his peers, to the girl he loves, sometimes even to his own mother. But that was before he wrote the letter - that led to the incident - that started the lie - that ignited a movement - that inspired a community - and changed Evan's status from the ultimate outsider into the somebody everyone wants to know. But how long can Evan keep his secret? And at what price? A tribute to the outsider in us all, Dear Evan Hansen is about someone you know, maybe even someone you are, but more than anything, it's about discovering the person we all long to be - ourselves."
"3/10,2019",Dear Evan Hansen,Music Box Theatre,101%," $ 1,278,661.40 ", $ 160.19 ,7982/984,8,2hr 30mins (1 intermission),"All his life Evan Hansen has felt invisible. To his peers, to the girl he loves, sometimes even to his own mother. But that was before he wrote the letter - that led to the incident - that started the lie - that ignited a movement - that inspired a community - and changed Evan's status from the ultimate outsider into the somebody everyone wants to know. But how long can Evan keep his secret? And at what price? A tribute to the outsider in us all, Dear Evan Hansen is about someone you know, maybe even someone you are, but more than anything, it's about discovering the person we all long to be - ourselves."
3/1/2020,Dear Evan Hansen,Music Box Theatre,97%," $ 965,733.10 ", $ 126.44 ,7638/984,8,2hr 30mins (1 intermission),"All his life Evan Hansen has felt invisible. To his peers, to the girl he loves, sometimes even to his own mother. But that was before he wrote the letter - that led to the incident - that started the lie - that ignited a movement - that inspired a community - and changed Evan's status from the ultimate outsider into the somebody everyone wants to know. But how long can Evan keep his secret? And at what price? A tribute to the outsider in us all, Dear Evan Hansen is about someone you know, maybe even someone you are, but more than anything, it's about discovering the person we all long to be - ourselves."
